gene_id	gene_name	SAMN36978213_MG	SAMN36978214_MG	SAMN36978215_MG	SAMN36978216_A1G	SAMN36978217_A1G	SAMN36978218_A1G	SAMN36978219_GC	SAMN36978220_GC	SAMN36978221_GC
ENSMUSG00000000001	Gnai3	47.541494	43.504437	47.904391	41.895588	43.393272	43.831256	39.844493	31.451176	25.660122
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	1.052144	0.983096	0.965109	1.271461	1.330168	1.080582	0.453493	0.784654	0.851587
ENSMUSG00000000031	H19	0.253823	0.081121	0.117294	0.188045	0.792479	0.059219	0.42426	0.463239	0.078759
ENSMUSG00000000037	Scml2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000049	Apoh	2633.474646	2636.631007	2561.006908	2057.438266	1983.178935	1911.628987	1642.343057	1521.725042	1419.565398
ENSMUSG00000000056	Narf	9.40767	11.556444	12.288745	10.162212	12.112686	8.921243	10.351847	9.539775	5.3152
ENSMUSG00000000058	Cav2	1.262817	2.306197	2.41856	2.061855	1.729711	2.204322	0.856388	1.909977	1.11885
ENSMUSG00000000078	Klf6	3.257367	2.479088	2.864639	2.500138	2.423358	2.462738	2.23575	1.826255	1.705604
ENSMUSG00000000085	Scmh1	3.66431	2.555974	2.853026	3.093955	2.688706	2.498991	4.667964	2.5528	3.682597
ENSMUSG00000000088	Cox5a	275.797396	315.119031	311.797135	361.504422	389.742566	356.185862	344.25898	403.437812	314.42585
ENSMUSG00000000093	Tbx2	1.060383	1.447255	0.849399	0.706151	0.512005	0.850813	0.722863	0.852828	0.492124
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	1.180215	1.235674	0.824318	1.409625	1.52068	0.90793	1.245658	0.716064	0.447579
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	0.400049	0.339779	0.134446	0.28751	0.658847	0.297767	0.217848	0.173266	0.250771
ENSMUSG00000000127	Fer	2.276547	2.05381	1.788273	2.191451	2.377058	1.654471	3.152982	1.721324	1.38398
ENSMUSG00000000131	Xpo6	10.665605	11.700862	12.362591	9.710337	10.658008	12.913444	9.714844	11.588458	10.264497
ENSMUSG00000000134	Tfe3	11.198149	15.131975	14.437079	10.452574	9.488751	15.695214	9.75524	9.506033	7.146726
ENSMUSG00000000142	Axin2	2.779622	1.707667	2.915448	2.462896	2.459355	4.553337	5.214858	4.792323	3.937855
ENSMUSG00000000148	Brat1	4.467173	4.791684	3.775808	4.998659	5.015911	6.425869	4.677269	4.971957	4.10026
ENSMUSG00000000149	Gna12	65.725623	54.288284	43.881316	54.424662	55.688864	45.48184	46.914739	33.821905	28.117483
ENSMUSG00000000154	Slc22a18	79.387898	81.92341	84.254961	80.141968	96.466449	90.123406	52.040727	53.869584	51.431834
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0	0	0.02045	0.042511
ENSMUSG00000000159	Igsf5	27.418147	21.689877	22.458039	21.001529	21.8327	21.098858	17.917549	19.513897	17.827165
ENSMUSG00000000167	Pih1d2	0.319667	0.318436	1.884311	1.369098	0.635992	0.831073	0.471376	0.433973	1.799192
ENSMUSG00000000168	Dlat	20.752403	26.66845	22.414908	24.991445	19.699807	24.558868	17.162489	35.0549	29.040214
ENSMUSG00000000171	Sdhd	193.175517	197.181121	195.875631	214.519797	231.120337	200.766279	211.081295	223.679396	179.154133
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	1.553915	1.443775	1.596098	1.777306	1.531664	2.240981	1.091307	1.128738	0.753444
ENSMUSG00000000194	Gpr107	5.847648	6.040518	5.315867	7.860553	5.7371	6.169578	6.405362	6.055155	3.976238
ENSMUSG00000000197	Nalcn	0	0	0	0	0	0	0	0	0
ENSMUSG00000000202	Btbd17	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	Slfn4	0.094393	0.061329	0.025256	0.103258	0.040761	0.038574	0.046497	0.074287	0.032906
ENSMUSG00000000214	Th	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	0	0	0	0	0	0.037331	0	0	0
ENSMUSG00000000244	Tspan32	0	0	0	0.299688	0	0.055142	0	0	0.147401
ENSMUSG00000000247	Lhx2	0.904548	1.271922	0.912911	1.652097	1.971721	1.144101	1.522127	1.719673	1.056591
ENSMUSG00000000248	Clec2g	0	0	0	0	0	0	0.336081	0	0
ENSMUSG00000000253	Gmpr	0.529448	0	0.304703	0.61076	0.577599	0.496361	0.055236	0.668743	0.163763
ENSMUSG00000000263	Glra1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	1.324746	1.239554	1.265871	1.600545	1.052241	1.823957	1.348519	1.076442	0.475511
ENSMUSG00000000275	Trim25	24.379488	27.03047	24.74409	31.548883	31.671299	32.380894	28.817563	22.82509	15.068218
ENSMUSG00000000276	Dgke	0.545664	0.66559	0.56893	0.477141	0.590048	0.69613	0.49984	0.363187	0.329458
ENSMUSG00000000278	Scpep1	23.381498	19.924335	17.343494	14.110706	18.732663	20.96284	16.917537	16.986641	12.726922
ENSMUSG00000000282	Mnt	2.878921	3.373899	3.76086	2.775755	4.577368	3.689731	4.351964	2.775706	3.089209
ENSMUSG00000000290	Itgb2	1.597307	2.051094	2.235832	2.293852	1.862744	2.137138	1.062973	1.896021	1.264042
ENSMUSG00000000295	Hddc2	1.548976	0.664072	0	0.835121	1.897847	0.721399	2.028357	1.520079	1.720741
ENSMUSG00000000296	Tpd52l1	4.9167	3.646628	2.608541	3.564382	4.304512	4.191415	4.390266	4.013013	3.045297
ENSMUSG00000000301	Pemt	351.974864	350.584169	357.929305	292.436715	332.244003	303.022386	334.277356	357.136105	327.908831
ENSMUSG00000000303	Cdh1	5.585997	5.95826	5.089537	12.305339	13.860358	8.338825	12.482625	14.268449	8.835964
ENSMUSG00000000305	Cdh4	0.447503	0.265301	0.10648	0.312487	0.063563	0.489036	0.048485	0.042786	0.053476
ENSMUSG00000000308	Ckmt1	0	0	0	0	0	0.047968	0	0	0
ENSMUSG00000000317	Bcl6b	0.466171	0.320812	1.014858	0.287417	0.277556	0.39968	0.854664	0.239087	0.474471
ENSMUSG00000000318	Clec10a	0.707699	0.108458	0.152262	0.045703	0.215095	0.151287	0.434734	0.130628	0
ENSMUSG00000000320	Alox12	0.149737	0	0.169413	0.060772	0.120204	0.259221	0.301572	0.038474	0.184098
ENSMUSG00000000325	Arvcf	2.917202	3.613958	2.987766	3.844802	4.334366	2.568047	3.255603	3.282377	3.512454
ENSMUSG00000000326	Comt	627.320408	672.729105	553.285623	788.365425	595.24717	515.545006	728.358187	789.294637	573.481686
ENSMUSG00000000339	Rtca	11.520127	7.535275	7.405596	8.445837	6.312705	9.326827	10.228848	8.729468	5.460777
ENSMUSG00000000340	Dbt	49.561418	57.730946	60.593472	56.774641	61.899907	52.360082	50.634779	47.527506	38.087965
ENSMUSG00000000346	Dazap2	85.080737	83.928586	87.700621	79.784635	70.813612	78.734156	68.628561	58.153853	54.020002
ENSMUSG00000000355	Mcts1	35.333523	46.656659	40.229985	46.071399	30.861656	41.999899	43.974866	39.369733	30.652491
ENSMUSG00000000359	Rem1	0.23467	0	0.475198	0.354547	0.512143	0.096205	0.052881	0.268468	0.196931
ENSMUSG00000000365	Rnf17	0	0	0	0	0	0	0	0	0
ENSMUSG00000000374	Trappc10	7.167192	7.905977	9.519808	8.874424	8.272056	8.844748	6.664051	5.576203	4.16964
ENSMUSG00000000378	Ccm2	14.239601	18.084796	15.22522	14.327578	15.907477	14.943615	15.149431	14.856176	12.526206
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	22.959255	26.59145	23.718683	23.516177	25.432355	29.056125	22.227071	18.21142	18.735638
ENSMUSG00000000385	Tmprss2	1.913098	0.659351	0.995205	1.65084	1.37003	1.145159	1.092764	1.074116	0.811658
ENSMUSG00000000386	Mx1	2.327049	0.055592	0.16569	0.514393	0.026661	0.12449	0.285691	0.274339	0.218017
ENSMUSG00000000392	Fap	0.107526	0	0.349385	0	0.037041	0.065654	0.066051	0.16316	0.060042
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	121.094652	115.186074	110.601681	112.199298	122.391875	116.32051	99.529496	116.664813	104.742216
ENSMUSG00000000402	Egfl6	0	0.170735	0	0.095553	0.056697	0	0	0	0
ENSMUSG00000000409	Lck	1.364515	0.363965	0.946455	0.321755	0.362995	0.263643	0.934433	0.307102	0.291769
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	0.135934	0.017623	0.086715	0.050361	0.106642	0.062805	0.06025	0.17849	0.043524
ENSMUSG00000000420	Galnt1	22.519126	20.684604	22.716349	24.508886	26.220818	27.204084	22.380488	16.911197	13.288252
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	8.833184	7.520262	6.288802	6.879685	5.928052	6.997279	8.134103	5.729147	4.980401
ENSMUSG00000000440	Pparg	2.064086	1.301221	1.813385	3.473145	2.70898	3.392536	3.397006	2.523477	3.692248
ENSMUSG00000000441	Raf1	40.238844	38.665077	38.461057	42.665908	35.309944	34.100067	35.431149	29.751144	25.353407
ENSMUSG00000000486	Sept1	1.591384	0	1.411854	0.852115	0.476349	0.581345	0.203554	0.641296	0.495641
ENSMUSG00000000489	Pdgfb	0.735479	0.31803	0.536674	0.701965	0.656817	0.277146	0.561215	0.65691	0.447407
ENSMUSG00000000530	Acvrl1	1.288777	1.009753	0.82097	0.796186	0.757428	1.125902	1.069207	0.806317	0.436657
ENSMUSG00000000531	Grasp	0.530261	0.85533	1.593685	1.304709	0.728523	1.025816	0.257367	0.662368	0.463903
ENSMUSG00000000532	Acvr1b	4.13298	3.136078	2.988365	3.974157	4.228226	4.07474	4.13238	3.00759	2.719559
ENSMUSG00000000538	Tom1l2	8.208316	8.667704	7.039171	9.114004	7.976572	6.290606	7.724402	6.973855	6.168693
ENSMUSG00000000544	Gpa33	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	8.570037	7.109922	8.467136	7.075657	7.797286	9.443112	5.361369	5.972528	7.385194
ENSMUSG00000000555	Itga5	9.184806	9.765655	10.504623	10.917319	12.413723	12.762432	8.821345	9.931576	7.340832
ENSMUSG00000000560	Gabra2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	Wdr77	11.908056	15.657859	16.125855	15.397316	12.44334	16.449914	8.339688	10.99287	7.266825
ENSMUSG00000000562	Adora3	0	0	0	0.11858	0	0	0	0.056109	0
ENSMUSG00000000563	Atp5f1	267.628108	263.507051	248.662958	271.657091	269.927015	264.669217	238.482678	287.313473	238.679698
ENSMUSG00000000567	Sox9	2.058333	3.548634	3.057378	3.304124	3.725572	4.54888	2.113603	2.528822	1.848049
ENSMUSG00000000568	Hnrnpd	29.077988	25.534893	36.749686	21.065186	24.867314	37.714616	21.511404	24.799544	17.370895
ENSMUSG00000000579	Dynlt1c	1.375323	0.535352	2.478509	0.68114	0.241078	0.644544	0.507022	0.74914	1.160392
ENSMUSG00000000581	C1d	53.948715	36.058232	42.695854	52.088127	47.88689	38.776543	28.914354	32.316127	32.000426
ENSMUSG00000000594	Gm2a	18.665201	20.741176	17.557636	25.912108	30.181265	22.25085	27.74204	28.405314	24.176506
ENSMUSG00000000600	Krit1	7.091047	8.520414	8.497624	9.376467	7.932129	10.486909	6.218816	5.985687	6.437953
ENSMUSG00000000605	Clcn4-2	20.811617	19.741497	20.946082	21.155286	18.435512	20.453506	18.932724	13.427367	11.710027
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	0	0.016826	0	0	0.10401	0	0	0.013737	0.014295
ENSMUSG00000000628	Hk2	0.234373	0.237985	0.251143	0.994082	0.263503	0.116745	0.14291	0.180841	0.052082
ENSMUSG00000000631	Myo18a	35.314635	22.26075	24.128929	21.215511	19.001467	22.161704	18.349183	16.805073	12.760913
ENSMUSG00000000632	Sez6	0	0	0	0	0	0	0	0	0
ENSMUSG00000000673	Haao	324.617735	324.472119	303.263951	314.211998	365.758895	321.873984	416.956482	424.182602	354.969538
ENSMUSG00000000682	Cd52	8.606416	6.08234	11.727162	14.51871	5.555716	11.693618	13.674735	12.971602	9.825259
ENSMUSG00000000686	Abhd15	19.399116	20.450605	19.990967	22.207659	22.693013	20.23156	26.700511	17.810371	10.243002
ENSMUSG00000000690	Hoxb6	0	0	0	0.129852	0	0	0.069641	0.15412	0.105648
ENSMUSG00000000693	Loxl3	0.3831	0.612121	0.27728	1.236288	0.357361	0.554452	0.890277	0.35589	0.544951
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708	Kat2b	25.199311	24.953334	24.525876	24.974821	27.05026	18.98539	22.934991	17.308089	16.559682
ENSMUSG00000000711	Rab5b	45.182384	41.067826	42.169805	42.311689	38.660202	38.247002	45.444787	36.866108	30.1241
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	0	0	0	0	0	0	0	0	0
ENSMUSG00000000731	Aire	0	0	0	0	0	0	0	0	0
ENSMUSG00000000732	Icosl	0.163719	0.105023	0.229643	0.155173	0.158172	0.171484	0.210218	0.315385	0.261212
ENSMUSG00000000738	Spg7	26.383803	26.575187	24.122821	23.492561	28.43113	32.523229	26.506991	21.82142	18.135498
ENSMUSG00000000739	Sult5a1	3.871874	1.084925	4.062175	4.828839	3.2404	2.481533	6.130042	10.408214	6.230803
ENSMUSG00000000740	Rpl13	405.534448	421.947184	478.64796	421.08334	445.331347	525.044486	387.713555	485.669673	377.201359
ENSMUSG00000000743	Chmp1a	40.424143	34.497099	34.563815	37.130837	36.530367	36.984053	34.023394	30.586844	27.736419
ENSMUSG00000000751	Rpa1	16.657399	15.448032	12.199176	20.841986	18.948242	18.649578	20.479149	18.609805	15.293278
ENSMUSG00000000753	Serpinf1	412.232442	503.515627	492.403692	464.055009	468.343264	397.136602	503.5743	490.775205	437.994492
ENSMUSG00000000759	Tubgcp3	7.533968	4.363879	5.199052	4.872145	5.667255	6.775096	3.621796	6.005556	4.190013
ENSMUSG00000000766	Oprm1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	4.050414	5.487918	6.933904	5.292506	4.231978	7.790891	4.275	4.488096	3.65091
ENSMUSG00000000782	Tcf7	1.226127	1.488239	1.881221	1.389639	1.609177	2.047709	1.291559	1.172995	1.209135
ENSMUSG00000000787	Ddx3x	66.224713	81.643999	84.91629	83.69313	69.550295	73.487651	63.231719	59.080297	38.08316
ENSMUSG00000000791	Il12rb1	0.345619	0.805372	0.55804	0.309804	0.316767	0.593049	0.333356	0.301079	0.35286
ENSMUSG00000000792	Slc5a5	0	0	0	0.020391	0	0.067852	0.055072	0	0
ENSMUSG00000000794	Kcnn3	0	0	0.021505	0	0	0.0695	0	0	0.007037
ENSMUSG00000000804	Usp32	10.228074	10.187017	9.078389	12.115452	10.117618	9.610274	12.773123	5.591759	4.646165
ENSMUSG00000000805	Car4	0	0	0	0	0	0.131156	0	0	0
ENSMUSG00000000811	Txnrd3	1.783644	1.685779	2.484389	2.39623	2.249618	2.146964	3.449735	2.14007	2.572694
ENSMUSG00000000817	Fasl	0.257613	0.041819	1.099384	0	0	0	0.095098	0	0
ENSMUSG00000000823	Znf512b	9.414054	10.571688	11.892418	8.777065	9.806276	9.091809	12.83385	10.005115	6.645604
ENSMUSG00000000826	Dnajc5	16.685581	20.390318	25.087273	23.63094	22.673254	21.389664	18.574233	14.364966	12.35366
ENSMUSG00000000827	Tpd52l2	25.285227	24.113671	18.47926	23.476645	14.059387	24.225378	19.106698	16.790557	16.820248
ENSMUSG00000000838	Fmr1	8.619654	7.686519	10.636372	10.254233	7.646482	9.37311	9.079152	6.374646	4.874694
ENSMUSG00000000861	Bcl11a	0	0.161677	0	0.021205	0	0	0	0.009725	0.040068
ENSMUSG00000000869	Il4	0	0	0	0	0	0.23017	0	0	0
ENSMUSG00000000876	Pxmp4	102.629841	68.31931	66.422171	87.204134	83.682452	88.505437	73.455535	82.246567	76.295686
ENSMUSG00000000881	Dlg3	8.464914	7.611702	6.288483	10.200669	11.237629	6.790852	10.961972	7.803796	6.081155
ENSMUSG00000000884	Gnb1l	0.551614	0.431737	0.295693	0.467906	0.307957	0.690792	0.695211	0.322699	0.206818
ENSMUSG00000000889	Dbh	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901	Mmp11	0	0.083094	0.279268	0.267448	1.459798	0.118008	0.14428	0.308672	0.165524
ENSMUSG00000000902	Smarcb1	14.877021	12.794979	18.182131	13.032959	11.816263	17.090883	17.443938	13.972872	10.372375
ENSMUSG00000000903	Vpreb3	0.268877	0.965388	1.354837	0.113198	0.67152	0.506061	0.155252	1.089206	1.709314
ENSMUSG00000000915	Hip1r	5.457131	6.183949	6.265646	9.664205	7.11283	8.906806	11.220131	10.772749	6.170088
ENSMUSG00000000916	Nsun5	6.759411	8.150953	7.190088	5.644461	5.561499	10.41955	4.696991	7.320687	5.020934
ENSMUSG00000000934	Top1mt	11.300138	8.225948	11.158135	9.590405	8.809079	10.919508	9.003864	10.04917	10.31053
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	0.260875	0.491107	0.212387	0.182579	0	0.104326	0	0.460334	0.048588
ENSMUSG00000000948	Gm38393	0.170363	0	0.082052	0.078885	0.135728	0.556192	0.076836	0.016815	0.095763
ENSMUSG00000000957	Mmp14	23.711458	20.484103	25.974478	18.421834	21.616093	23.324661	16.426783	18.534141	13.920164
ENSMUSG00000000958	Slc7a7	0.814498	1.605812	1.356962	1.488005	2.722829	1.552222	0.24844	1.312657	1.353033
ENSMUSG00000000959	Oxa1l	17.21922	22.960561	20.194936	18.975514	20.647511	20.042777	17.471921	17.991124	17.191985
ENSMUSG00000000976	Heatr6	3.904696	3.487105	4.082866	4.138354	4.018853	6.560093	6.650867	3.23596	2.829021
ENSMUSG00000000982	Ccl3	0	0.53728	0	0.449196	0	0.126303	0	0	0.218998
ENSMUSG00000000983	Wfdc18	0	0	0	0	0.252433	0.099428	0	0.20058	0.20554
ENSMUSG00000001014	Icam4	0.46089	0	0.746134	0.578342	0.391099	1.009328	0.223098	0.643116	0.580664
ENSMUSG00000001016	Ilf2	7.870042	7.229977	7.765414	9.31629	9.068681	8.604425	8.5273	9.412858	7.809234
ENSMUSG00000001017	Chtop	41.600949	38.887748	42.209019	41.484076	40.984904	41.590989	36.239501	35.424207	29.630253
ENSMUSG00000001018	Snapin	11.943026	9.660591	7.189937	10.791018	9.461198	9.718243	9.28373	6.495346	7.891627
ENSMUSG00000001020	S100a4	0	0.272116	0	1.356381	0	0	1.248722	0.43424	0
ENSMUSG00000001021	S100a3	0	0	0	0	0	0	0	0	0
ENSMUSG00000001023	S100a5	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	1.065516	0.272237	0.865399	1.303846	2.483916	2.300761	0	1.671417	1.940093
ENSMUSG00000001027	Scn4a	0	0.030538	0	0	0	0	0	0	0
ENSMUSG00000001029	Icam2	0.980418	2.348445	1.182547	2.350998	1.599199	3.418767	1.99172	1.874435	1.317412
ENSMUSG00000001034	Mapk7	0.962852	0.305156	0.721053	0.75036	0.714283	0.583701	0.782971	1.033943	0.787598
ENSMUSG00000001036	Epn2	2.32678	2.237666	3.406342	2.831598	2.163392	3.842127	2.69229	1.953125	1.801092
ENSMUSG00000001039	B9d1	1.954328	0	0.236907	0.561417	0.228705	0.370512	0.658046	0.184784	0
ENSMUSG00000001052	Sec24b	13.594384	11.664167	12.014739	7.294401	9.918881	10.618332	8.618013	9.203553	6.848483
ENSMUSG00000001053	N4bp3	2.573437	2.795427	2.783104	2.978102	3.948771	5.151916	2.668646	3.761612	2.516793
ENSMUSG00000001054	Rmnd5b	5.616392	7.969382	6.246116	6.2895	7.635939	9.741749	4.514392	6.360278	5.356888
ENSMUSG00000001056	Nhp2	23.198423	25.924758	22.126439	23.874963	21.219006	38.437001	24.998402	31.482449	27.085367
ENSMUSG00000001062	Vps9d1	7.594104	6.875828	8.020367	8.882495	8.807091	8.165178	13.070193	8.788658	8.602168
ENSMUSG00000001065	Zfp276	16.009648	7.129998	11.938668	9.601382	8.815505	11.50797	8.500769	9.800602	8.307894
ENSMUSG00000001076	C1ql4	0	0	0.134771	0	0.30204	0.098693	0	0.088272	0
ENSMUSG00000001082	Mfsd10	1.980942	8.213269	2.227639	2.740427	7.642269	5.731673	6.729302	2.005167	5.149185
ENSMUSG00000001089	Luzp1	3.900294	3.524801	4.124832	4.490201	4.332293	4.467238	3.723055	2.825679	2.072905
ENSMUSG00000001095	Slc13a2	0.417446	1.160681	0.558343	1.053584	2.105603	0.718498	2.449215	1.557473	0.701516
ENSMUSG00000001098	Kctd10	7.205534	5.675383	7.585768	8.033786	6.682755	7.409749	7.071831	6.537402	3.769586
ENSMUSG00000001100	Poldip2	53.373589	58.018579	59.753472	54.370304	53.528483	57.70546	46.646286	44.332599	43.593307
ENSMUSG00000001103	Sebox	0.77851	0.87436	0.390198	0.551701	0.750556	0.389387	0.714003	0.4008	0.414713
ENSMUSG00000001105	Ift20	105.179043	96.924667	94.194832	101.532671	81.345728	80.201931	84.606576	83.708644	74.58532
ENSMUSG00000001119	Col6a1	1.314693	0.469045	1.609864	1.648434	1.276941	1.311937	1.546266	1.639318	0.804825
ENSMUSG00000001120	Pcbp3	0.145514	0.283063	0.142131	0.222605	0.901224	0.107544	0.099596	0.140096	0.109302
ENSMUSG00000001123	Lgals9	356.25915	284.205662	275.240507	280.487707	255.728199	254.897518	297.070396	242.656983	248.899582
ENSMUSG00000001127	Araf	34.443623	27.518787	36.182579	33.473397	29.593429	34.325663	28.662947	27.711623	24.82652
ENSMUSG00000001128	Cfp	9.25878	8.786263	6.906273	12.028368	7.3424	9.067436	11.123063	11.407414	6.570558
ENSMUSG00000001131	Timp1	0	0	0.141634	0	0.727813	0.19402	0	0.362803	0
ENSMUSG00000001134	Uxt	26.32665	34.071674	24.698655	32.946885	25.151821	25.700701	28.089455	23.675746	33.279299
ENSMUSG00000001138	Cnnm3	4.653916	3.333009	3.496106	4.281308	5.89144	4.595395	6.632591	3.171679	3.934138
ENSMUSG00000001143	Lman2l	12.782449	11.783803	10.756857	15.415625	14.587053	13.214712	10.495689	15.018237	6.965537
ENSMUSG00000001150	Mcm3ap	6.508703	5.242412	5.177874	6.303086	5.068404	7.686191	5.099967	4.219299	2.850717
ENSMUSG00000001151	Pcnt	1.461755	1.308302	1.343095	1.714495	1.642962	1.559312	1.379386	1.092194	0.723353
ENSMUSG00000001155	Ftcd	229.975147	207.275364	249.367067	192.796723	221.371984	171.841902	211.794721	203.800353	186.901221
ENSMUSG00000001156	Mxd1	1.186347	1.951404	1.695666	1.890121	1.328113	1.427493	2.086919	1.65393	1.018542
ENSMUSG00000001157	Gmcl1	5.605206	6.180244	6.112455	6.222502	6.407445	7.073038	6.75995	4.786864	3.910188
ENSMUSG00000001158	Snrnp27	27.369615	18.236571	20.966957	22.850441	23.738721	27.650435	19.507422	24.7044	17.842236
ENSMUSG00000001166	Oas1c	0.201417	0.16155	0.323026	0.409362	0.357351	0.443049	0.628609	0.129315	0.160475
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	1.253479	1.034994	1.135407	1.747721	0.986224	1.217513	1.130949	0.842228	0.655812
ENSMUSG00000001175	Calm1	97.833488	109.861886	106.937885	120.882693	101.042464	97.434167	92.888312	79.151226	82.984619
ENSMUSG00000001211	Agpat3	220.561461	198.067125	183.912865	180.591475	175.615715	171.392096	136.001854	133.241191	110.044154
ENSMUSG00000001225	Slc26a3	0	0	0	0	0	0	0	0	0
ENSMUSG00000001227	Sema6b	2.084285	1.603874	1.53103	1.544206	1.909356	1.551914	0.9606	1.512941	1.511917
ENSMUSG00000001228	Uhrf1	0	0	0.104526	0.03519	0.333088	0.038793	0.166082	0.22787	0.156113
ENSMUSG00000001229	Dpp9	33.826706	27.50034	30.674739	26.977926	26.266187	28.699603	24.993826	22.68985	17.368442
ENSMUSG00000001240	Ramp2	4.353188	6.206432	7.574103	5.692905	5.241156	6.990964	8.204173	5.702554	6.794845
ENSMUSG00000001247	Lsr	113.655515	123.152032	130.31333	140.132921	127.793931	110.536855	130.139732	170.683244	137.264464
ENSMUSG00000001248	Gramd1a	3.225159	3.599471	5.218037	3.926035	3.738024	4.477678	5.717165	4.918312	4.40716
ENSMUSG00000001249	Hpn	301.525438	323.696694	309.732073	295.156421	298.312487	271.865396	283.373255	304.400841	272.02322
ENSMUSG00000001260	Gabrg1	0	0	0	0	0	0	0	0	0
ENSMUSG00000001270	Ckb	2.491789	1.472739	2.022683	2.458886	2.536201	2.070992	1.673344	3.185145	2.233705
ENSMUSG00000001280	Sp1	15.355452	8.870257	9.465709	9.666897	8.441129	10.117001	10.909019	8.702794	3.59053
ENSMUSG00000001281	Itgb7	0.581427	0.23818	0.335226	0.11182	0.158366	0.395086	0.422617	0.498291	0.427443
ENSMUSG00000001285	Myg1	14.963832	12.91776	17.750595	11.624399	11.252415	16.362146	9.284837	10.17347	11.811079
ENSMUSG00000001288	Rarg	1.737544	2.540338	4.148305	2.159352	2.304541	3.624828	1.669586	2.284874	1.432758
ENSMUSG00000001289	Pfdn5	78.195492	95.598437	89.632352	68.999017	114.167726	87.88698	75.921664	90.956285	75.87064
ENSMUSG00000001300	Efnb2	1.339968	1.08551	1.520211	1.256856	1.20004	1.115996	0.616548	0.723273	0.470135
ENSMUSG00000001305	Rrp15	8.686867	12.958477	12.238842	12.012516	10.454628	18.418077	8.3767	9.251302	5.928478
ENSMUSG00000001313	Rnd2	15.332719	13.850358	9.047366	13.821835	13.232385	11.18999	13.935617	16.049841	16.752598
ENSMUSG00000001323	Srr	75.112181	62.29345	76.414527	61.26794	54.71522	61.55767	46.790252	40.045558	33.355279
ENSMUSG00000001333	Sync	0.114647	0.109611	0	0	0.03185	0.06841	0	0	0.061089
ENSMUSG00000001334	Fndc5	0	0	0.032877	0.044223	0.157552	0	0	0.126507	0.021851
ENSMUSG00000001348	Acp5	79.499364	94.887127	73.716726	97.087137	97.682979	89.002272	103.079927	93.975315	100.419179
ENSMUSG00000001349	Cnn1	0	0	0	0.053367	0.190583	0.029696	0	0	0
ENSMUSG00000001366	Fbxo9	34.999406	43.363334	40.176939	35.436115	32.263953	35.383457	41.699243	33.974779	23.935408
ENSMUSG00000001376	Ccdc132	4.293107	4.156989	4.705571	5.109893	2.631483	4.151401	5.651472	2.946556	3.114406
ENSMUSG00000001380	Hars	23.190103	22.186708	24.694205	21.456417	18.854581	28.604184	18.765315	17.675692	16.208285
ENSMUSG00000001383	Zmat2	17.64176	15.893274	13.699234	16.910417	17.367522	17.564473	13.270529	15.823155	14.468184
ENSMUSG00000001403	Ube2c	0	0.187499	0	0.314457	0	0.176069	0.964031	0.376502	0.699426
ENSMUSG00000001415	Smg5	15.823794	19.302724	19.498726	17.830916	14.282438	18.921862	10.225632	10.079353	9.031206
